metrica,valor,percentual_base
linhas_base_bruta,50000,100.0
linhas_base_processada,48491,96.98
linhas_removidas_base_processada,1509,3.02
celulas_texto_padronizadas,22822,
sabor_nulo_preenchido,500,1.0
cidade_nula_preenchida,500,1.0
valor_total_nulo,500,1.0
quantidade_invalida,1016,2.03
valor_total_invalido,1509,3.02
data_invalida,0,0.0
hora_invalida,0,0.0
id_transacao_duplicado,0,0.0
tipo_sorvete_invalido,0,0.0
sabor_invalido,0,0.0
canal_venda_invalido,0,0.0
estado_invalido,0,0.0
outliers_valor_total_mantidos,101,0.21
nulos_base_processada,0,
