id_transacao,data,hora,tipo_sorvete,sabor,quantidade,valor_total,cidade,estado,canal_venda,promocao,id_cliente,data_venda,hora_parse,hora_venda,flag_sabor_nao_informado,flag_cidade_nao_informada,flag_data_invalida,flag_hora_invalida,flag_quantidade_invalida,flag_valor_total_nulo,flag_valor_total_invalido,flag_id_transacao_duplicado,flag_linha_duplicada,flag_tipo_sorvete_invalido,flag_sabor_invalido,flag_canal_venda_invalido,flag_estado_invalido,motivo_exclusao,registro_valido_powerbi,flag_outlier_valor_total,ano,mes,nome_mes,ano_mes,trimestre,dia_semana,dia_mes,faixa_horario,ticket_transacao,ticket_medio,valor_unitario_estimado,promocao_label,cliente_recorrente,qtd_transacoes_cliente
1,2025-04-30,11,Milkshake,Açaí,3,16.22,Campinas,AP,App,True,CLI9795,2025-04-30,1900-01-01 11:00:00,11:00,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,2025,4,Abril,2025-04,T2,Quarta,30,Manha,16.22,5.41,5.41,Com Promocao,True,3
2,2025-07-12,15,Milkshake,Menta,4,18.57,Aragão,TO,App,True,CLI1799,2025-07-12,1900-01-01 15:45:00,15:45,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,2025,7,Julho,2025-07,T3,Sabado,12,Tarde,18.57,4.64,4.64,Com Promocao,True,6
3,2025-03-08,15,Pote,Baunilha,4,21.76,Câmara,PA,Parceiro,False,CLI9914,2025-03-08,1900-01-01 15:15:00,15:15,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,2025,3,Marco,2025-03,T1,Sabado,8,Tarde,21.76,5.44,5.44,Sem Promocao,True,9
4,2025-08-13,21,Casquinha,Cookies,3,30.87,Carvalho De Pereira,PR,Loja Física,True,CLI2071,2025-08-13,1900-01-01 21:45:00,21:45,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,2025,8,Agosto,2025-08,T3,Quarta,13,Noite,30.87,10.29,10.29,Com Promocao,True,8
5,2025-04-07,11,Picolé,Cookies,4,26.59,Moraes,MA,Loja Física,True,CLI9549,2025-04-07,1900-01-01 11:45:00,11:45,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,2025,4,Abril,2025-04,T2,Segunda,7,Manha,26.59,6.65,6.65,Com Promocao,True,6
6,2025-03-22,22,Milkshake,Açaí,3,18.43,Campinas,PE,Parceiro,True,CLI1034,2025-03-22,1900-01-01 22:30:00,22:30,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,2025,3,Marco,2025-03,T1,Sabado,22,Noite,18.43,6.14,6.14,Com Promocao,True,9
7,2025-06-27,17,Pote,Chocolate,4,36.96,Da Cruz Grande,CE,Loja Física,False,CLI5935,2025-06-27,1900-01-01 17:00:00,17:00,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,2025,6,Junho,2025-06,T2,Sexta,27,Tarde,36.96,9.24,9.24,Sem Promocao,True,8
8,2025-03-28,10,Picolé,Morango,4,28.14,Borges,RJ,Parceiro,True,CLI8169,2025-03-28,1900-01-01 10:45:00,10:45,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,2025,3,Marco,2025-03,T1,Sexta,28,Manha,28.14,7.04,7.04,Com Promocao,True,6
9,2025-07-22,18,Casquinha,Cookies,4,34.4,Camargo Do Sul,CE,App,False,CLI5269,2025-07-22,1900-01-01 18:15:00,18:15,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,2025,7,Julho,2025-07,T3,Terca,22,Noite,34.4,8.6,8.6,Sem Promocao,True,13
10,2025-04-23,11,Picolé,Menta,3,25.2,Nascimento Do Norte,PA,Parceiro,True,CLI4188,2025-04-23,1900-01-01 11:00:00,11:00,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,2025,4,Abril,2025-04,T2,Quarta,23,Manha,25.2,8.4,8.4,Com Promocao,True,6
