id_transacao,data,hora,tipo_sorvete,sabor,quantidade,valor_total,cidade,estado,canal_venda,promocao,id_cliente,data_venda,hora_parse,hora_venda,flag_sabor_nao_informado,flag_cidade_nao_informada,flag_data_invalida,flag_hora_invalida,flag_quantidade_invalida,flag_valor_total_nulo,flag_valor_total_invalido,flag_id_transacao_duplicado,flag_linha_duplicada,flag_tipo_sorvete_invalido,flag_sabor_invalido,flag_canal_venda_invalido,flag_estado_invalido,motivo_exclusao,registro_valido_powerbi,flag_outlier_valor_total,ano,mes,nome_mes,ano_mes,trimestre,dia_semana,dia_mes,faixa_horario,ticket_transacao,ticket_medio,valor_unitario_estimado,promocao_label,cliente_recorrente,qtd_transacoes_cliente
25,2025-06-08,16,Milkshake,Morango,0,0.0,Cunha De Freitas,BA,App,False,CLI8077,2025-06-08,1900-01-01 16:30:00,16:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,6,Junho,2025-06,T2,Domingo,8,Tarde,0.0,,,Sem Promocao,True,8
26,2025-03-21,16,Casquinha,Açaí,0,0.0,Novais Das Pedras,RR,App,True,CLI4381,2025-03-21,1900-01-01 16:15:00,16:15,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,3,Marco,2025-03,T1,Sexta,21,Tarde,0.0,,,Com Promocao,True,9
41,2025-06-28,12,Milkshake,Morango,-1,-9.78,Cirino Das Flores,RS,App,True,CLI8320,2025-06-28,1900-01-01 12:45:00,12:45,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,6,Junho,2025-06,T2,Sabado,28,Tarde,-9.78,9.78,9.78,Com Promocao,True,4
113,2025-03-20,16,Picolé,Nao Informado,2,,Nao Informado,PB,Parceiro,True,CLI3557,2025-03-20,1900-01-01 16:30:00,16:30,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,3,Marco,2025-03,T1,Quinta,20,Tarde,,,,Com Promocao,True,7
145,2025-06-24,11,Casquinha,Nao Informado,2,,Nao Informado,MG,Loja Física,False,CLI3848,2025-06-24,1900-01-01 11:45:00,11:45,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,6,Junho,2025-06,T2,Terca,24,Manha,,,,Sem Promocao,True,6
162,2025-03-01,14,Casquinha,Baunilha,-1,-5.8,Da Costa,AL,App,False,CLI8117,2025-03-01,1900-01-01 14:45:00,14:45,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,3,Marco,2025-03,T1,Sabado,1,Tarde,-5.8,5.8,5.8,Sem Promocao,True,5
197,2025-04-04,17,Sundae,Nao Informado,3,,Nao Informado,AM,Loja Física,True,CLI8675,2025-04-04,1900-01-01 17:15:00,17:15,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,4,Abril,2025-04,T2,Sexta,4,Tarde,,,,Com Promocao,True,7
222,2025-06-25,11,Pote,Morango,-2,-11.84,Cassiano,BA,Loja Física,False,CLI1951,2025-06-25,1900-01-01 11:30:00,11:30,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,6,Junho,2025-06,T2,Quarta,25,Manha,-11.84,5.92,5.92,Sem Promocao,True,9
261,2025-05-27,13,Casquinha,Caramelo,-1,-11.1,Moura,DF,Parceiro,False,CLI9637,2025-05-27,1900-01-01 13:00:00,13:00,False,False,False,False,True,False,True,False,False,False,False,False,False,quantidade_nao_positiva_ou_nula;valor_total_nao_positivo,False,False,2025,5,Maio,2025-05,T2,Terca,27,Tarde,-11.1,11.1,11.1,Sem Promocao,True,5
290,2025-06-10,12,Casquinha,Nao Informado,3,,Nao Informado,CE,App,True,CLI8672,2025-06-10,1900-01-01 12:30:00,12:30,True,True,False,False,False,True,True,False,False,False,False,False,False,valor_total_nulo,False,False,2025,6,Junho,2025-06,T2,Terca,10,Tarde,,,,Com Promocao,True,9
