id_cliente,cliente_recorrente,quantidade_transacoes_cliente,faixa_frequencia_cliente,segmento_valor_cliente,primeira_data_compra,ultima_data_compra,dias_entre_primeira_ultima_compra,receita_total_cliente,volume_total_cliente,ticket_medio_cliente,cidade_principal,estado_principal,canal_preferencial,categoria_preferencial
CLI1000,True,5,4 a 6 compras,Medio valor,2025-03-02,2025-06-18,108,125.09,12,25.02,Abreu,ES,App,Milkshake
CLI1001,True,6,4 a 6 compras,Alto valor,2025-04-17,2025-06-09,53,183.98,16,30.66,Andrade Verde,BA,Parceiro,Milkshake
CLI1002,True,9,7 a 10 compras,Medio valor,2025-03-07,2025-06-29,114,173.88,27,19.32,Andrade De Castro,PI,App,Milkshake
CLI1003,True,6,4 a 6 compras,Medio valor,2025-04-04,2025-07-15,102,174.82999999999998,22,29.14,Costa Das Flores,BA,Parceiro,Picolé
CLI1004,True,6,4 a 6 compras,Medio valor,2025-04-13,2025-08-05,114,153.73000000000002,16,25.62,Aragão Paulista,AM,App,Pote
CLI1005,True,7,7 a 10 compras,Alto valor,2025-03-19,2025-09-20,185,221.8,20,31.69,Abreu De Pinto,DF,Parceiro,Milkshake
CLI1006,True,9,7 a 10 compras,Alto valor,2025-02-23,2025-08-18,176,233.9,24,25.99,Abreu Do Oeste,DF,Parceiro,Pote
CLI1007,True,8,7 a 10 compras,Alto valor,2025-02-20,2025-07-25,155,186.5,25,23.31,Borges,ES,App,Picolé
CLI1008,True,7,7 a 10 compras,Medio valor,2025-02-20,2025-09-12,204,155.89,19,22.27,Casa Grande De Ribeiro,RN,Parceiro,Picolé
CLI1009,True,5,4 a 6 compras,Baixo valor,2025-03-12,2025-08-10,151,81.06,10,16.21,Carvalho Da Mata,CE,App,Sundae
CLI1010,True,4,4 a 6 compras,Medio valor,2025-03-04,2025-06-10,98,142.82999999999998,14,35.71,Albuquerque,MT,Parceiro,Casquinha
