id_produto,produto,tipo_sorvete,sabor,flag_sabor_nao_informado
1,Casquinha - Açaí,Casquinha,Açaí,False
2,Casquinha - Baunilha,Casquinha,Baunilha,False
3,Casquinha - Caramelo,Casquinha,Caramelo,False
4,Casquinha - Chocolate,Casquinha,Chocolate,False
5,Casquinha - Cookies,Casquinha,Cookies,False
6,Casquinha - Limão,Casquinha,Limão,False
7,Casquinha - Menta,Casquinha,Menta,False
8,Casquinha - Morango,Casquinha,Morango,False
9,Milkshake - Açaí,Milkshake,Açaí,False
10,Milkshake - Baunilha,Milkshake,Baunilha,False
11,Milkshake - Caramelo,Milkshake,Caramelo,False
12,Milkshake - Chocolate,Milkshake,Chocolate,False
13,Milkshake - Cookies,Milkshake,Cookies,False
14,Milkshake - Limão,Milkshake,Limão,False
15,Milkshake - Menta,Milkshake,Menta,False
16,Milkshake - Morango,Milkshake,Morango,False
17,Picolé - Açaí,Picolé,Açaí,False
18,Picolé - Baunilha,Picolé,Baunilha,False
19,Picolé - Caramelo,Picolé,Caramelo,False
20,Picolé - Chocolate,Picolé,Chocolate,False
21,Picolé - Cookies,Picolé,Cookies,False
22,Picolé - Limão,Picolé,Limão,False
23,Picolé - Menta,Picolé,Menta,False
24,Picolé - Morango,Picolé,Morango,False
25,Pote - Açaí,Pote,Açaí,False
26,Pote - Baunilha,Pote,Baunilha,False
27,Pote - Caramelo,Pote,Caramelo,False
28,Pote - Chocolate,Pote,Chocolate,False
29,Pote - Cookies,Pote,Cookies,False
30,Pote - Limão,Pote,Limão,False
31,Pote - Menta,Pote,Menta,False
32,Pote - Morango,Pote,Morango,False
33,Sundae - Açaí,Sundae,Açaí,False
34,Sundae - Baunilha,Sundae,Baunilha,False
35,Sundae - Caramelo,Sundae,Caramelo,False
36,Sundae - Chocolate,Sundae,Chocolate,False
37,Sundae - Cookies,Sundae,Cookies,False
38,Sundae - Limão,Sundae,Limão,False
39,Sundae - Menta,Sundae,Menta,False
40,Sundae - Morango,Sundae,Morango,False
