data_venda,ano,mes,nome_mes,ano_mes,ordem_ano_mes,trimestre_numero,trimestre,dia_mes,numero_dia_semana,dia_semana,fim_de_semana
2025-02-20,2025,2,Fevereiro,2025-02,202502,1,T1,20,4,Quinta,False
2025-02-21,2025,2,Fevereiro,2025-02,202502,1,T1,21,5,Sexta,False
2025-02-22,2025,2,Fevereiro,2025-02,202502,1,T1,22,6,Sabado,True
2025-02-23,2025,2,Fevereiro,2025-02,202502,1,T1,23,7,Domingo,True
2025-02-24,2025,2,Fevereiro,2025-02,202502,1,T1,24,1,Segunda,False
2025-02-25,2025,2,Fevereiro,2025-02,202502,1,T1,25,2,Terca,False
2025-02-26,2025,2,Fevereiro,2025-02,202502,1,T1,26,3,Quarta,False
2025-02-27,2025,2,Fevereiro,2025-02,202502,1,T1,27,4,Quinta,False
2025-02-28,2025,2,Fevereiro,2025-02,202502,1,T1,28,5,Sexta,False
2025-03-01,2025,3,Marco,2025-03,202503,1,T1,1,6,Sabado,True
2025-03-02,2025,3,Marco,2025-03,202503,1,T1,2,7,Domingo,True
2025-03-03,2025,3,Marco,2025-03,202503,1,T1,3,1,Segunda,False
2025-03-04,2025,3,Marco,2025-03,202503,1,T1,4,2,Terca,False
2025-03-05,2025,3,Marco,2025-03,202503,1,T1,5,3,Quarta,False
2025-03-06,2025,3,Marco,2025-03,202503,1,T1,6,4,Quinta,False
2025-03-07,2025,3,Marco,2025-03,202503,1,T1,7,5,Sexta,False
2025-03-08,2025,3,Marco,2025-03,202503,1,T1,8,6,Sabado,True
2025-03-09,2025,3,Marco,2025-03,202503,1,T1,9,7,Domingo,True
2025-03-10,2025,3,Marco,2025-03,202503,1,T1,10,1,Segunda,False
2025-03-11,2025,3,Marco,2025-03,202503,1,T1,11,2,Terca,False
2025-03-12,2025,3,Marco,2025-03,202503,1,T1,12,3,Quarta,False
2025-03-13,2025,3,Marco,2025-03,202503,1,T1,13,4,Quinta,False
2025-03-14,2025,3,Marco,2025-03,202503,1,T1,14,5,Sexta,False
2025-03-15,2025,3,Marco,2025-03,202503,1,T1,15,6,Sabado,True
2025-03-16,2025,3,Marco,2025-03,202503,1,T1,16,7,Domingo,True
2025-03-17,2025,3,Marco,2025-03,202503,1,T1,17,1,Segunda,False
2025-03-18,2025,3,Marco,2025-03,202503,1,T1,18,2,Terca,False
2025-03-19,2025,3,Marco,2025-03,202503,1,T1,19,3,Quarta,False
2025-03-20,2025,3,Marco,2025-03,202503,1,T1,20,4,Quinta,False
2025-03-21,2025,3,Marco,2025-03,202503,1,T1,21,5,Sexta,False
2025-03-22,2025,3,Marco,2025-03,202503,1,T1,22,6,Sabado,True
2025-03-23,2025,3,Marco,2025-03,202503,1,T1,23,7,Domingo,True
2025-03-24,2025,3,Marco,2025-03,202503,1,T1,24,1,Segunda,False
2025-03-25,2025,3,Marco,2025-03,202503,1,T1,25,2,Terca,False
2025-03-26,2025,3,Marco,2025-03,202503,1,T1,26,3,Quarta,False
2025-03-27,2025,3,Marco,2025-03,202503,1,T1,27,4,Quinta,False
2025-03-28,2025,3,Marco,2025-03,202503,1,T1,28,5,Sexta,False
2025-03-29,2025,3,Marco,2025-03,202503,1,T1,29,6,Sabado,True
2025-03-30,2025,3,Marco,2025-03,202503,1,T1,30,7,Domingo,True
2025-03-31,2025,3,Marco,2025-03,202503,1,T1,31,1,Segunda,False
2025-04-01,2025,4,Abril,2025-04,202504,2,T2,1,2,Terca,False
2025-04-02,2025,4,Abril,2025-04,202504,2,T2,2,3,Quarta,False
2025-04-03,2025,4,Abril,2025-04,202504,2,T2,3,4,Quinta,False
2025-04-04,2025,4,Abril,2025-04,202504,2,T2,4,5,Sexta,False
2025-04-05,2025,4,Abril,2025-04,202504,2,T2,5,6,Sabado,True
2025-04-06,2025,4,Abril,2025-04,202504,2,T2,6,7,Domingo,True
2025-04-07,2025,4,Abril,2025-04,202504,2,T2,7,1,Segunda,False
2025-04-08,2025,4,Abril,2025-04,202504,2,T2,8,2,Terca,False
2025-04-09,2025,4,Abril,2025-04,202504,2,T2,9,3,Quarta,False
2025-04-10,2025,4,Abril,2025-04,202504,2,T2,10,4,Quinta,False
2025-04-11,2025,4,Abril,2025-04,202504,2,T2,11,5,Sexta,False
2025-04-12,2025,4,Abril,2025-04,202504,2,T2,12,6,Sabado,True
2025-04-13,2025,4,Abril,2025-04,202504,2,T2,13,7,Domingo,True
2025-04-14,2025,4,Abril,2025-04,202504,2,T2,14,1,Segunda,False
2025-04-15,2025,4,Abril,2025-04,202504,2,T2,15,2,Terca,False
2025-04-16,2025,4,Abril,2025-04,202504,2,T2,16,3,Quarta,False
2025-04-17,2025,4,Abril,2025-04,202504,2,T2,17,4,Quinta,False
2025-04-18,2025,4,Abril,2025-04,202504,2,T2,18,5,Sexta,False
2025-04-19,2025,4,Abril,2025-04,202504,2,T2,19,6,Sabado,True
2025-04-20,2025,4,Abril,2025-04,202504,2,T2,20,7,Domingo,True
2025-04-21,2025,4,Abril,2025-04,202504,2,T2,21,1,Segunda,False
2025-04-22,2025,4,Abril,2025-04,202504,2,T2,22,2,Terca,False
2025-04-23,2025,4,Abril,2025-04,202504,2,T2,23,3,Quarta,False
2025-04-24,2025,4,Abril,2025-04,202504,2,T2,24,4,Quinta,False
2025-04-25,2025,4,Abril,2025-04,202504,2,T2,25,5,Sexta,False
2025-04-26,2025,4,Abril,2025-04,202504,2,T2,26,6,Sabado,True
2025-04-27,2025,4,Abril,2025-04,202504,2,T2,27,7,Domingo,True
2025-04-28,2025,4,Abril,2025-04,202504,2,T2,28,1,Segunda,False
2025-04-29,2025,4,Abril,2025-04,202504,2,T2,29,2,Terca,False
2025-04-30,2025,4,Abril,2025-04,202504,2,T2,30,3,Quarta,False
2025-05-01,2025,5,Maio,2025-05,202505,2,T2,1,4,Quinta,False
2025-05-02,2025,5,Maio,2025-05,202505,2,T2,2,5,Sexta,False
2025-05-03,2025,5,Maio,2025-05,202505,2,T2,3,6,Sabado,True
2025-05-04,2025,5,Maio,2025-05,202505,2,T2,4,7,Domingo,True
2025-05-05,2025,5,Maio,2025-05,202505,2,T2,5,1,Segunda,False
2025-05-06,2025,5,Maio,2025-05,202505,2,T2,6,2,Terca,False
2025-05-07,2025,5,Maio,2025-05,202505,2,T2,7,3,Quarta,False
2025-05-08,2025,5,Maio,2025-05,202505,2,T2,8,4,Quinta,False
2025-05-09,2025,5,Maio,2025-05,202505,2,T2,9,5,Sexta,False
2025-05-10,2025,5,Maio,2025-05,202505,2,T2,10,6,Sabado,True
2025-05-11,2025,5,Maio,2025-05,202505,2,T2,11,7,Domingo,True
2025-05-12,2025,5,Maio,2025-05,202505,2,T2,12,1,Segunda,False
2025-05-13,2025,5,Maio,2025-05,202505,2,T2,13,2,Terca,False
2025-05-14,2025,5,Maio,2025-05,202505,2,T2,14,3,Quarta,False
2025-05-15,2025,5,Maio,2025-05,202505,2,T2,15,4,Quinta,False
2025-05-16,2025,5,Maio,2025-05,202505,2,T2,16,5,Sexta,False
2025-05-17,2025,5,Maio,2025-05,202505,2,T2,17,6,Sabado,True
2025-05-18,2025,5,Maio,2025-05,202505,2,T2,18,7,Domingo,True
2025-05-19,2025,5,Maio,2025-05,202505,2,T2,19,1,Segunda,False
2025-05-20,2025,5,Maio,2025-05,202505,2,T2,20,2,Terca,False
2025-05-21,2025,5,Maio,2025-05,202505,2,T2,21,3,Quarta,False
2025-05-22,2025,5,Maio,2025-05,202505,2,T2,22,4,Quinta,False
2025-05-23,2025,5,Maio,2025-05,202505,2,T2,23,5,Sexta,False
2025-05-24,2025,5,Maio,2025-05,202505,2,T2,24,6,Sabado,True
2025-05-25,2025,5,Maio,2025-05,202505,2,T2,25,7,Domingo,True
2025-05-26,2025,5,Maio,2025-05,202505,2,T2,26,1,Segunda,False
2025-05-27,2025,5,Maio,2025-05,202505,2,T2,27,2,Terca,False
2025-05-28,2025,5,Maio,2025-05,202505,2,T2,28,3,Quarta,False
2025-05-29,2025,5,Maio,2025-05,202505,2,T2,29,4,Quinta,False
2025-05-30,2025,5,Maio,2025-05,202505,2,T2,30,5,Sexta,False
2025-05-31,2025,5,Maio,2025-05,202505,2,T2,31,6,Sabado,True
2025-06-01,2025,6,Junho,2025-06,202506,2,T2,1,7,Domingo,True
2025-06-02,2025,6,Junho,2025-06,202506,2,T2,2,1,Segunda,False
2025-06-03,2025,6,Junho,2025-06,202506,2,T2,3,2,Terca,False
2025-06-04,2025,6,Junho,2025-06,202506,2,T2,4,3,Quarta,False
2025-06-05,2025,6,Junho,2025-06,202506,2,T2,5,4,Quinta,False
2025-06-06,2025,6,Junho,2025-06,202506,2,T2,6,5,Sexta,False
2025-06-07,2025,6,Junho,2025-06,202506,2,T2,7,6,Sabado,True
2025-06-08,2025,6,Junho,2025-06,202506,2,T2,8,7,Domingo,True
2025-06-09,2025,6,Junho,2025-06,202506,2,T2,9,1,Segunda,False
2025-06-10,2025,6,Junho,2025-06,202506,2,T2,10,2,Terca,False
2025-06-11,2025,6,Junho,2025-06,202506,2,T2,11,3,Quarta,False
2025-06-12,2025,6,Junho,2025-06,202506,2,T2,12,4,Quinta,False
2025-06-13,2025,6,Junho,2025-06,202506,2,T2,13,5,Sexta,False
2025-06-14,2025,6,Junho,2025-06,202506,2,T2,14,6,Sabado,True
2025-06-15,2025,6,Junho,2025-06,202506,2,T2,15,7,Domingo,True
2025-06-16,2025,6,Junho,2025-06,202506,2,T2,16,1,Segunda,False
2025-06-17,2025,6,Junho,2025-06,202506,2,T2,17,2,Terca,False
2025-06-18,2025,6,Junho,2025-06,202506,2,T2,18,3,Quarta,False
2025-06-19,2025,6,Junho,2025-06,202506,2,T2,19,4,Quinta,False
2025-06-20,2025,6,Junho,2025-06,202506,2,T2,20,5,Sexta,False
2025-06-21,2025,6,Junho,2025-06,202506,2,T2,21,6,Sabado,True
2025-06-22,2025,6,Junho,2025-06,202506,2,T2,22,7,Domingo,True
2025-06-23,2025,6,Junho,2025-06,202506,2,T2,23,1,Segunda,False
2025-06-24,2025,6,Junho,2025-06,202506,2,T2,24,2,Terca,False
2025-06-25,2025,6,Junho,2025-06,202506,2,T2,25,3,Quarta,False
2025-06-26,2025,6,Junho,2025-06,202506,2,T2,26,4,Quinta,False
2025-06-27,2025,6,Junho,2025-06,202506,2,T2,27,5,Sexta,False
2025-06-28,2025,6,Junho,2025-06,202506,2,T2,28,6,Sabado,True
2025-06-29,2025,6,Junho,2025-06,202506,2,T2,29,7,Domingo,True
2025-06-30,2025,6,Junho,2025-06,202506,2,T2,30,1,Segunda,False
2025-07-01,2025,7,Julho,2025-07,202507,3,T3,1,2,Terca,False
2025-07-02,2025,7,Julho,2025-07,202507,3,T3,2,3,Quarta,False
2025-07-03,2025,7,Julho,2025-07,202507,3,T3,3,4,Quinta,False
2025-07-04,2025,7,Julho,2025-07,202507,3,T3,4,5,Sexta,False
2025-07-05,2025,7,Julho,2025-07,202507,3,T3,5,6,Sabado,True
2025-07-06,2025,7,Julho,2025-07,202507,3,T3,6,7,Domingo,True
2025-07-07,2025,7,Julho,2025-07,202507,3,T3,7,1,Segunda,False
2025-07-08,2025,7,Julho,2025-07,202507,3,T3,8,2,Terca,False
2025-07-09,2025,7,Julho,2025-07,202507,3,T3,9,3,Quarta,False
2025-07-10,2025,7,Julho,2025-07,202507,3,T3,10,4,Quinta,False
2025-07-11,2025,7,Julho,2025-07,202507,3,T3,11,5,Sexta,False
