id_transacao,data_venda,id_produto,id_cliente,id_canal,quantidade_vendida,receita_transacao,valor_transacao,valor_unitario_medio,promocao,status_promocao,hora_venda,hora,faixa_horaria,flag_outlier_valor_total,flag_registro_valido_powerbi
1,2025-04-30,9,CLI9795,1,3,16.22,16.22,5.41,True,Com Promocao,11:00,11,Manha,False,True
2,2025-07-12,15,CLI1799,1,4,18.57,18.57,4.64,True,Com Promocao,15:45,15,Tarde,False,True
3,2025-03-08,26,CLI9914,3,4,21.76,21.76,5.44,False,Sem Promocao,15:15,15,Tarde,False,True
4,2025-08-13,5,CLI2071,2,3,30.87,30.87,10.29,True,Com Promocao,21:45,21,Noite,False,True
5,2025-04-07,21,CLI9549,2,4,26.59,26.59,6.65,True,Com Promocao,11:45,11,Manha,False,True
6,2025-03-22,9,CLI1034,3,3,18.43,18.43,6.14,True,Com Promocao,22:30,22,Noite,False,True
7,2025-06-27,28,CLI5935,2,4,36.96,36.96,9.24,False,Sem Promocao,17:00,17,Tarde,False,True
8,2025-03-28,24,CLI8169,3,4,28.14,28.14,7.04,True,Com Promocao,10:45,10,Manha,False,True
9,2025-07-22,5,CLI5269,1,4,34.4,34.4,8.6,False,Sem Promocao,18:15,18,Noite,False,True
10,2025-04-23,23,CLI4188,3,3,25.2,25.2,8.4,True,Com Promocao,11:00,11,Manha,False,True
11,2025-03-24,39,CLI1682,3,2,27.82,27.82,13.91,False,Sem Promocao,18:00,18,Noite,False,True
12,2025-02-21,8,CLI7550,2,3,20.4,20.4,6.8,True,Com Promocao,18:30,18,Noite,False,True
13,2025-06-05,12,CLI8266,1,1,14.91,14.91,14.91,False,Sem Promocao,15:45,15,Tarde,False,True
14,2025-03-29,20,CLI6918,2,3,24.76,24.76,8.25,True,Com Promocao,12:30,12,Tarde,False,True
15,2025-08-16,25,CLI9732,2,4,51.48,51.48,12.87,False,Sem Promocao,12:30,12,Tarde,False,True
16,2025-05-15,11,CLI2030,3,4,49.76,49.76,12.44,True,Com Promocao,22:00,22,Noite,False,True
17,2025-04-06,8,CLI1518,2,3,15.28,15.28,5.09,True,Com Promocao,10:15,10,Manha,False,True
18,2025-08-07,18,CLI5674,3,4,44.76,44.76,11.19,False,Sem Promocao,11:45,11,Manha,False,True
19,2025-04-11,34,CLI9201,1,1,5.05,5.05,5.05,False,Sem Promocao,19:15,19,Noite,False,True
20,2025-06-25,31,CLI4408,1,3,28.19,28.19,9.4,True,Com Promocao,16:30,16,Tarde,False,True
21,2025-04-11,36,CLI6862,3,4,27.76,27.76,6.94,False,Sem Promocao,09:45,9,Manha,False,True
22,2025-06-11,31,CLI9558,1,1,5.47,5.47,5.47,True,Com Promocao,21:00,21,Noite,False,True
23,2025-06-29,16,CLI8080,2,2,19.48,19.48,9.74,True,Com Promocao,18:00,18,Noite,False,True
