id_transacao,data_venda,ano,mes,nome_mes,ano_mes,trimestre,dia_semana,dia_mes,hora_venda,hora,faixa_horario,tipo_sorvete,sabor,quantidade,valor_total,ticket_transacao,ticket_medio,valor_unitario_estimado,cidade,estado,canal_venda,promocao,promocao_label,id_cliente,cliente_recorrente,qtd_transacoes_cliente,flag_sabor_nao_informado,flag_cidade_nao_informada,flag_outlier_valor_total,registro_valido_powerbi
1,2025-04-30,2025,4,Abril,2025-04,T2,Quarta,30,11:00,11,Manha,Milkshake,Açaí,3,16.22,16.22,5.41,5.41,Campinas,AP,App,True,Com Promocao,CLI9795,True,3,False,False,False,True
2,2025-07-12,2025,7,Julho,2025-07,T3,Sabado,12,15:45,15,Tarde,Milkshake,Menta,4,18.57,18.57,4.64,4.64,Aragão,TO,App,True,Com Promocao,CLI1799,True,6,False,False,False,True
3,2025-03-08,2025,3,Marco,2025-03,T1,Sabado,8,15:15,15,Tarde,Pote,Baunilha,4,21.76,21.76,5.44,5.44,Câmara,PA,Parceiro,False,Sem Promocao,CLI9914,True,9,False,False,False,True
4,2025-08-13,2025,8,Agosto,2025-08,T3,Quarta,13,21:45,21,Noite,Casquinha,Cookies,3,30.87,30.87,10.29,10.29,Carvalho De Pereira,PR,Loja Física,True,Com Promocao,CLI2071,True,8,False,False,False,True
5,2025-04-07,2025,4,Abril,2025-04,T2,Segunda,7,11:45,11,Manha,Picolé,Cookies,4,26.59,26.59,6.65,6.65,Moraes,MA,Loja Física,True,Com Promocao,CLI9549,True,6,False,False,False,True
6,2025-03-22,2025,3,Marco,2025-03,T1,Sabado,22,22:30,22,Noite,Milkshake,Açaí,3,18.43,18.43,6.14,6.14,Campinas,PE,Parceiro,True,Com Promocao,CLI1034,True,9,False,False,False,True
7,2025-06-27,2025,6,Junho,2025-06,T2,Sexta,27,17:00,17,Tarde,Pote,Chocolate,4,36.96,36.96,9.24,9.24,Da Cruz Grande,CE,Loja Física,False,Sem Promocao,CLI5935,True,8,False,False,False,True
8,2025-03-28,2025,3,Marco,2025-03,T1,Sexta,28,10:45,10,Manha,Picolé,Morango,4,28.14,28.14,7.04,7.04,Borges,RJ,Parceiro,True,Com Promocao,CLI8169,True,6,False,False,False,True
9,2025-07-22,2025,7,Julho,2025-07,T3,Terca,22,18:15,18,Noite,Casquinha,Cookies,4,34.4,34.4,8.6,8.6,Camargo Do Sul,CE,App,False,Sem Promocao,CLI5269,True,13,False,False,False,True
10,2025-04-23,2025,4,Abril,2025-04,T2,Quarta,23,11:00,11,Manha,Picolé,Menta,3,25.2,25.2,8.4,8.4,Nascimento Do Norte,PA,Parceiro,True,Com Promocao,CLI4188,True,6,False,False,False,True
11,2025-03-24,2025,3,Marco,2025-03,T1,Segunda,24,18:00,18,Noite,Sundae,Menta,2,27.82,27.82,13.91,13.91,Pimenta Paulista,RN,Parceiro,False,Sem Promocao,CLI1682,True,7,False,False,False,True
12,2025-02-21,2025,2,Fevereiro,2025-02,T1,Sexta,21,18:30,18,Noite,Casquinha,Morango,3,20.4,20.4,6.8,6.8,Fonseca,SC,Loja Física,True,Com Promocao,CLI7550,True,5,False,False,False,True
13,2025-06-05,2025,6,Junho,2025-06,T2,Quinta,5,15:45,15,Tarde,Milkshake,Chocolate,1,14.91,14.91,14.91,14.91,Barros Das Pedras,RS,App,False,Sem Promocao,CLI8266,True,6,False,False,False,True
14,2025-03-29,2025,3,Marco,2025-03,T1,Sabado,29,12:30,12,Tarde,Picolé,Chocolate,3,24.76,24.76,8.25,8.25,Martins,BA,Loja Física,True,Com Promocao,CLI6918,True,8,False,False,False,True
15,2025-08-16,2025,8,Agosto,2025-08,T3,Sabado,16,12:30,12,Tarde,Pote,Açaí,4,51.48,51.48,12.87,12.87,Da Mota,PE,Loja Física,False,Sem Promocao,CLI9732,True,6,False,False,False,True
16,2025-05-15,2025,5,Maio,2025-05,T2,Quinta,15,22:00,22,Noite,Milkshake,Caramelo,4,49.76,49.76,12.44,12.44,Santos,PE,Parceiro,True,Com Promocao,CLI2030,True,5,False,False,False,True
17,2025-04-06,2025,4,Abril,2025-04,T2,Domingo,6,10:15,10,Manha,Casquinha,Morango,3,15.28,15.28,5.09,5.09,Macedo,DF,Loja Física,True,Com Promocao,CLI1518,True,9,False,False,False,True
18,2025-08-07,2025,8,Agosto,2025-08,T3,Quinta,7,11:45,11,Manha,Picolé,Baunilha,4,44.76,44.76,11.19,11.19,Das Neves Da Praia,SC,Parceiro,False,Sem Promocao,CLI5674,True,13,False,False,False,True
19,2025-04-11,2025,4,Abril,2025-04,T2,Sexta,11,19:15,19,Noite,Sundae,Baunilha,1,5.05,5.05,5.05,5.05,Silva,SP,App,False,Sem Promocao,CLI9201,True,6,False,False,False,True
20,2025-06-25,2025,6,Junho,2025-06,T2,Quarta,25,16:30,16,Tarde,Pote,Menta,3,28.19,28.19,9.4,9.4,Aparecida Dos Dourados,AM,App,True,Com Promocao,CLI4408,True,10,False,False,False,True
21,2025-04-11,2025,4,Abril,2025-04,T2,Sexta,11,09:45,9,Manha,Sundae,Chocolate,4,27.76,27.76,6.94,6.94,Aragão Da Mata,PB,Parceiro,False,Sem Promocao,CLI6862,True,9,False,False,False,True
22,2025-06-11,2025,6,Junho,2025-06,T2,Quarta,11,21:00,21,Noite,Pote,Menta,1,5.47,5.47,5.47,5.47,Aragão De Borges,RN,App,True,Com Promocao,CLI9558,True,12,False,False,False,True
23,2025-06-29,2025,6,Junho,2025-06,T2,Domingo,29,18:00,18,Noite,Milkshake,Morango,2,19.48,19.48,9.74,9.74,Da Conceição,MG,Loja Física,True,Com Promocao,CLI8080,True,8,False,False,False,True
24,2025-05-06,2025,5,Maio,2025-05,T2,Terca,6,19:45,19,Noite,Picolé,Baunilha,2,10.5,10.5,5.25,5.25,Borges Da Mata,MG,App,True,Com Promocao,CLI9370,True,4,False,False,False,True
27,2025-07-17,2025,7,Julho,2025-07,T3,Quinta,17,11:15,11,Manha,Pote,Chocolate,5,49.99,49.99,10.0,10.0,Gomes,AP,App,True,Com Promocao,CLI5740,True,3,False,False,False,True
28,2025-07-14,2025,7,Julho,2025-07,T3,Segunda,14,14:00,14,Tarde,Picolé,Morango,5,57.05,57.05,11.41,11.41,Cardoso De Goiás,SP,App,False,Sem Promocao,CLI6575,True,7,False,False,False,True
