ID_Transacao,Data,Hora,Tipo_Sorvete,Sabor,Quantidade,Valor_Total,Cidade,Estado,Canal_Venda,Promocao,ID_Cliente
1,2025-04-30,11:00,Milkshake,Açaí,3,16.22,Campinas,AP,App,True,CLI9795
2,2025-07-12,15:45,Milkshake,Menta,4,18.57,Aragão,TO,App,True,CLI1799
3,2025-03-08,15:15,Pote,Baunilha,4,21.76,Câmara,PA,Parceiro,False,CLI9914
4,2025-08-13,21:45,Casquinha,Cookies,3,30.87,Carvalho de Pereira,PR,Loja Física,True,CLI2071
5,2025-04-07,11:45,Picolé,Cookies,4,26.59,Moraes,MA,Loja Física,True,CLI9549
6,2025-03-22,22:30,Milkshake,Açaí,3,18.43,Campinas,PE,Parceiro,True,CLI1034
7,2025-06-27,17:00,Pote,Chocolate,4,36.96,da Cruz Grande,CE,Loja Física,False,CLI5935
8,2025-03-28,10:45,Picolé,Morango,4,28.14,Borges,RJ,Parceiro,True,CLI8169
9,2025-07-22,18:15,Casquinha,Cookies,4,34.4,Camargo do Sul,CE,App,False,CLI5269
10,2025-04-23,11:00,Picolé,Menta,3,25.2,Nascimento do Norte,PA,Parceiro,True,CLI4188
11,2025-03-24,18:00,Sundae,Menta,2,27.82,Pimenta Paulista,RN,Parceiro,False,CLI1682
12,2025-02-21,18:30,Casquinha,Morango,3,20.4,Fonseca,SC,Loja Física,True,CLI7550
13,2025-06-05,15:45,Milkshake,Chocolate,1,14.91,Barros das Pedras,RS,App,False,CLI8266
14,2025-03-29,12:30,Picolé,Chocolate,3,24.76,Martins,BA,Loja Física,True,CLI6918
15,2025-08-16,12:30,Pote,Açaí,4,51.48,da Mota,PE,Loja Física,False,CLI9732
16,2025-05-15,22:00,Milkshake,Caramelo,4,49.76,Santos,PE,Parceiro,True,CLI2030
17,2025-04-06,10:15,Casquinha,Morango,3,15.28,Macedo,DF,Loja Física,True,CLI1518
18,2025-08-07,11:45,Picolé,Baunilha,4,44.76,das Neves da Praia,SC,Parceiro,False,CLI5674
19,2025-04-11,19:15,Sundae,Baunilha,1,5.05,Silva,SP,App,False,CLI9201
20,2025-06-25,16:30,Pote,Menta,3,28.19,Aparecida dos Dourados,AM,App,True,CLI4408
21,2025-04-11,9:45,Sundae,Chocolate,4,27.76,Aragão da Mata,PB,Parceiro,False,CLI6862
22,2025-06-11,21:00,Pote,Menta,1,5.47,Aragão de Borges,RN,App,True,CLI9558
23,2025-06-29,18:00,Milkshake,Morango,2,19.48,da Conceição,MG,Loja Física,True,CLI8080
24,2025-05-06,19:45,Picolé,Baunilha,2,10.5,Borges da Mata,MG,App,True,CLI9370
25,2025-06-08,16:30,Milkshake,Morango,0,0.0,Cunha de Freitas,BA,App,False,CLI8077
26,2025-03-21,16:15,Casquinha,Açaí,0,0.0,Novais das Pedras,RR,App,True,CLI4381
27,2025-07-17,11:15,Pote,Chocolate,5,49.99,Gomes,AP,App,True,CLI5740
28,2025-07-14,14:00,Picolé,Morango,5,57.05,Cardoso de Goiás,SP,App,False,CLI6575
29,2025-03-13,17:45,Picolé,Açaí,3,30.78,Nogueira,RR,Parceiro,False,CLI2348
30,2025-06-13,9:15,Pote,Morango,4,23.68,Sousa,CE,App,False,CLI6340
31,2025-02-22,8:45,Milkshake,Cookies,5,40.75,Campinas,RO,App,False,CLI6309
32,2025-07-11,21:15,Picolé,Baunilha,1,6.37,Cardoso de Moreira,MS,Loja Física,True,CLI5857
33,2025-08-31,22:15,Picolé,Baunilha,2,20.34,Pires do Campo,AL,Loja Física,False,CLI4913
34,2025-03-02,12:30,Picolé,Cookies,1,8.01,Monteiro de Goiás,MT,Loja Física,True,CLI5267
35,2025-06-20,13:30,Sundae,Limão,4,34.2,da Rocha de Campos,AC,Loja Física,False,CLI9825
36,2025-03-04,11:30,Sundae,Menta,2,15.9,Teixeira,MT,Loja Física,True,CLI5262
37,2025-08-15,9:30,Milkshake,Cookies,3,39.08,Sampaio de Santos,MT,App,True,CLI6293
38,2025-04-08,15:45,Pote,Limão,3,26.43,Rezende,RO,Parceiro,False,CLI7520
39,2025-06-01,14:45,Milkshake,Morango,2,12.02,Gomes de Cavalcanti,PE,App,False,CLI3479
40,2025-03-13,11:30,Milkshake,Menta,6,37.17,Campinas,MT,Parceiro,True,CLI4475
41,2025-06-28,12:45,Milkshake,Morango,-1,-9.78,Cirino das Flores,RS,App,True,CLI8320
42,2025-08-06,20:00,Milkshake,Baunilha,2,8.51,Carvalho,PA,App,True,CLI1960
43,2025-05-11,18:45,Milkshake,Caramelo,5,30.3,Teixeira,MA,Loja Física,False,CLI4258
44,2025-05-31,14:15,Picolé,Limão,3,22.17,da Rosa,RN,Parceiro,False,CLI9596
45,2025-02-21,14:15,Picolé,Limão,2,19.76,Casa Grande,GO,Parceiro,True,CLI6998
46,2025-08-19,14:15,Sundae,Morango,5,39.14,Costa do Norte,SP,App,True,CLI7370
47,2025-07-11,9:15,Pote,Chocolate,5,52.7,Rocha de Silva,MA,Parceiro,True,CLI6707
48,2025-07-26,16:45,Picolé,Cookies,4,32.74,Guerra,ES,Parceiro,True,CLI3398
49,2025-04-21,8:30,Milkshake,Baunilha,5,40.38,Campinas,AP,Loja Física,True,CLI9491
50,2025-04-12,14:15,Milkshake,Limão,1,7.5,Jesus de Minas,MT,Loja Física,False,CLI3644
51,2025-08-12,20:00,Picolé,Baunilha,3,25.38,Vargas,BA,App,False,CLI9456
52,2025-07-05,14:30,Milkshake,Menta,6,37.86,Campinas,SE,Parceiro,False,CLI8317
53,2025-05-20,20:45,Pote,Morango,2,13.64,Cassiano,PR,Parceiro,True,CLI7133
54,2025-03-19,18:30,Picolé,Chocolate,5,46.0,Sá da Praia,AL,App,False,CLI4042
55,2025-08-24,19:45,Milkshake,Chocolate,5,71.1,da Mata da Praia,PR,Loja Física,False,CLI3695
56,2025-07-24,12:15,Milkshake,Baunilha,5,60.34,Lopes,PA,Loja Física,True,CLI4777
57,2025-06-26,21:15,Sundae,Açaí,5,36.3,Aparecida,SC,Loja Física,False,CLI9099
58,2025-07-11,12:15,Casquinha,Morango,2,11.53,Andrade do Norte,MS,Parceiro,True,CLI2793
59,2025-04-07,20:00,Picolé,Limão,3,20.22,da Costa da Prata,ES,Loja Física,False,CLI8959
60,2025-04-06,22:15,Sundae,Açaí,3,38.79,Silveira de Camargo,MT,Loja Física,True,CLI1435
61,2025-03-17,10:00,Pote,Limão,4,33.84,Cavalcanti de Porto,AC,Parceiro,False,CLI2764
62,2025-04-30,13:30,Casquinha,Açaí,1,10.22,Sales,AM,Loja Física,True,CLI7187
63,2025-03-19,18:30,Pote,Caramelo,5,42.79,Peixoto,AM,App,True,CLI9347
64,2025-06-09,16:15,Pote,Menta,5,57.9,da Rocha Paulista,RR,Parceiro,False,CLI7760
65,2025-06-05,9:15,Pote,Menta,1,6.44,Cunha,AM,App,True,CLI7383
66,2025-05-22,16:00,Casquinha,Baunilha,5,54.4,Mendonça Grande,PI,Parceiro,False,CLI1027
67,2025-05-27,12:00,Pote,Baunilha,2,18.66,Montenegro,PR,App,False,CLI3695
68,2025-03-17,10:30,Milkshake,Açaí,2,19.74,Andrade,MA,Parceiro,False,CLI8182
69,2025-08-12,22:15,Picolé,Menta,3,22.56,Cirino Verde,PE,Loja Física,False,CLI8420
70,2025-05-05,17:30,Picolé,Chocolate,5,34.0,Oliveira Grande,GO,Loja Física,False,CLI1619
71,2025-05-06,17:45,Casquinha,Menta,1,8.22,Sousa do Campo,AP,Loja Física,False,CLI4873
72,2025-05-26,8:15,Milkshake,Açaí,4,16.64,Marques,RN,App,True,CLI8639
73,2025-08-11,13:00,Pote,Açaí,1,8.08,Rios do Norte,TO,App,False,CLI5046
74,2025-08-18,18:00,Pote,Chocolate,3,29.55,Pacheco,GO,Loja Física,True,CLI8186
75,2025-03-06,10:15,Sundae,Caramelo,5,39.27,da Conceição,GO,App,True,CLI8287
76,2025-05-16,13:00,Milkshake,Limão,3,13.96,Cavalcante da Prata,MG,App,True,CLI3404
77,2025-07-24,17:15,Casquinha,Cookies,5,64.25,Silva Grande,DF,Loja Física,True,CLI4628
78,2025-03-05,13:15,Milkshake,Baunilha,3,30.54,Alves,SC,Parceiro,False,CLI9526
79,2025-04-17,11:30,Sundae,Limão,1,7.35,Jesus,AL,App,False,CLI4571
80,2025-03-19,11:15,Milkshake,Açaí,5,55.3,Teixeira de Nascimento,PR,Parceiro,False,CLI1814
81,2025-07-14,11:00,Milkshake,Caramelo,3,37.47,Campinas,MA,Parceiro,False,CLI9559
82,2025-03-21,16:45,Pote,Limão,3,29.07,Azevedo de Gonçalves,SP,Parceiro,True,CLI7648
83,2025-02-28,15:30,Sundae,Caramelo,2,23.98,Abreu Grande,SE,Parceiro,False,CLI4232
84,2025-07-04,10:45,Casquinha,Menta,4,29.79,Cavalcanti,AC,App,True,CLI7608
85,2025-07-01,15:45,Pote,Limão,1,8.92,Câmara,TO,Parceiro,True,CLI8733
86,2025-05-08,10:30,Picolé,Baunilha,2,29.0,Moreira,TO,Parceiro,False,CLI8023
87,2025-02-23,19:15,Sundae,Cookies,3,21.03,Alves,RN,App,False,CLI1207
88,2025-04-08,11:45,Milkshake,Morango,5,67.1,Pacheco,MA,Parceiro,False,CLI2635
89,2025-08-03,17:45,Sundae,Cookies,2,7.91,Silveira,AC,App,True,CLI5270
90,2025-06-12,8:15,Milkshake,Açaí,2,20.83,da Costa do Amparo,AL,App,True,CLI7420
91,2025-06-01,14:30,Casquinha,Baunilha,4,30.2,Guerra Verde,RS,App,False,CLI1228
92,2025-02-28,8:45,Pote,Limão,2,14.84,Caldeira,BA,Parceiro,True,CLI3127
93,2025-06-04,12:45,Sundae,Açaí,3,40.17,Pires,RR,Loja Física,False,CLI4294
94,2025-07-08,8:00,Pote,Limão,3,26.96,Fonseca Alegre,MT,App,True,CLI1503
95,2025-07-11,16:15,Sundae,Morango,2,17.56,Cassiano do Norte,SP,Loja Física,False,CLI9664
96,2025-06-27,21:15,Pote,Limão,5,30.55,Cunha,AL,App,False,CLI9154
97,2025-05-28,22:45,Picolé,Cookies,4,28.42,Almeida,AP,Parceiro,True,CLI6824
98,2025-07-18,17:45,Sundae,Morango,3,39.42,Gonçalves,PA,Parceiro,False,CLI9335
99,2025-03-06,14:30,Milkshake,Baunilha,4,47.64,Campinas,SC,App,False,CLI8285
100,2025-05-14,10:30,Pote,Morango,2,12.78,Rezende Verde,PB,App,False,CLI3120
101,2025-07-03,9:45,Sundae,Caramelo,2,17.02,Dias da Mata,ES,App,True,CLI3303
102,2025-03-11,13:00,Pote,Açaí,2,18.8,Moura da Praia,SE,App,False,CLI8034
103,2025-08-16,16:30,Picolé,Açaí,3,22.02,Cunha de Nogueira,RR,Loja Física,False,CLI9409
104,2025-07-17,13:30,Casquinha,Menta,5,59.7,Pires,MT,App,True,CLI5936
105,2025-07-14,12:30,Milkshake,Caramelo,4,16.46,Moura Grande,TO,App,True,CLI1269
106,2025-08-10,12:15,Picolé,Cookies,4,39.56,Cirino de Duarte,AM,App,True,CLI8451
107,2025-03-16,18:00,Casquinha,Chocolate,4,53.0,Pinto do Norte,RS,App,False,CLI5342
108,2025-05-29,10:30,Casquinha,Limão,2,12.67,Vargas,PI,Loja Física,True,CLI5457
109,2025-04-30,14:30,Casquinha,Caramelo,3,35.67,Vasconcelos de Cunha,AM,Parceiro,False,CLI8196
110,2025-06-27,13:30,Milkshake,Menta,3,29.97,Guerra de Goiás,SC,Parceiro,False,CLI6125
111,2025-07-27,22:45,Casquinha,Baunilha,2,12.8,Fogaça do Amparo,ES,App,False,CLI8747
112,2025-03-27,12:30,Casquinha,Açaí,3,43.56,Rocha da Mata,GO,Parceiro,False,CLI1174
113,2025-03-20,16:30,Picolé,,2,,,PB,Parceiro,True,CLI3557
114,2025-06-25,22:00,Pote,Açaí,4,33.32,Garcia do Sul,BA,Loja Física,True,CLI6218
115,2025-05-14,8:45,Sundae,Menta,3,27.83,Fonseca,AP,Loja Física,True,CLI5564
116,2025-03-28,18:45,Sundae,Limão,1,12.31,Melo dos Dourados,AC,Parceiro,False,CLI5511
117,2025-07-03,8:30,Casquinha,Limão,3,14.55,Novaes do Galho,MT,App,True,CLI2867
118,2025-04-18,11:45,Sundae,Açaí,2,20.89,Albuquerque,PE,Parceiro,True,CLI5634
119,2025-03-02,11:00,Pote,Baunilha,5,42.4,Alves de Nascimento,PA,Loja Física,True,CLI2281
120,2025-05-11,18:00,Casquinha,Caramelo,4,44.93,Melo do Norte,SC,Parceiro,True,CLI3806
121,2025-04-14,8:00,Pote,Morango,3,31.65,Rocha do Sul,RR,Parceiro,True,CLI2946
122,2025-04-04,22:15,Casquinha,Baunilha,4,22.51,Sousa da Serra,SC,Parceiro,True,CLI4995
123,2025-07-26,16:15,Casquinha,Limão,4,47.46,Fonseca da Praia,BA,App,True,CLI8376
124,2025-06-06,9:00,Picolé,Chocolate,2,17.73,da Cunha,ES,Parceiro,True,CLI2249
125,2025-06-14,8:30,Pote,Morango,1,5.03,Silva,RR,App,True,CLI9172
126,2025-08-09,21:30,Sundae,Caramelo,3,26.19,Viana,PR,Parceiro,True,CLI5082
127,2025-07-13,22:00,Picolé,Açaí,3,31.28,Machado das Pedras,CE,Parceiro,True,CLI9406
128,2025-03-11,17:15,Casquinha,Chocolate,3,20.34,Sousa,GO,Parceiro,True,CLI8837
129,2025-04-18,9:00,Casquinha,Açaí,5,46.15,Correia da Prata,MS,Loja Física,True,CLI1556
